	UF	televisao por assinatura	televisao com recepcao de sinal digital de tv abertaa	V02270	rede celular 3G ou 4G	conexao discada	banda larga	rendimento mensal domiciliar per capita
1293	23	1.0	3.0	1	2.0	4.0	4.0	4.0
1294	23	3.0	1.0	2	2.0	4.0	4.0	3.0
1299	23	1.0	1.0	4	2.0	4.0	4.0	3.0
1301	23	1.0	1.0	2	2.0	4.0	4.0	2.0
1303	23	1.0	1.0	1	2.0	4.0	4.0	4.0
1304	23	1.0	1.0	2	2.0	4.0	2.0	4.0
1308	23	1.0	1.0	1	4.0	4.0	2.0	6.0
1310	23	1.0	1.0	2	2.0	4.0	2.0	4.0
1311	23	3.0	1.0	1	2.0	4.0	4.0	5.0
1313	23	3.0	3.0	0	2.0	4.0	4.0	4.0
